prop_id,lat,lon,region,type,actual_price,area
9250875,50.3513246,4.1203078,Wallonie,APARTMENT,169000.0,107.0
8941884,50.4592303,4.7036296,Wallonie,INDUSTRY,365000.0,640.0
9137603,51.1678905,2.7776027,Flanders,APARTMENT,149000.0,48.0
9359642,50.978153,3.2035065,Flanders,HOUSE,75000.0,111.0
9103404,51.1239223,4.0937917,Flanders,APARTMENT,1295000.0,216.0
9399282,51.1238963,3.4739113,Flanders,HOUSE,1600000.0,284.0
9366734,49.5552526,5.5307026,Wallonie,HOUSE,360000.0,238.0
9378868,51.0534009,3.7468609,Flanders,INDUSTRY,499000.0,260.0
9366073,50.7806488,4.8685676,Flanders,APARTMENT,247000.0,103.0
8894289,51.2142707,3.2170258,Flanders,APARTMENT,395000.0,91.0
9151907,50.953589,3.4998012,Flanders,INDUSTRY,2500.0,850.0
9378056,50.5931607,4.2860216341575,Wallonie,APARTMENT,345000.0,192.0
9336206,50.5864287,5.6409744,Wallonie,APARTMENT,350000.0,124.0
9371201,50.7529597,4.3528446,Flanders,HOUSE,820000.0,220.0
9282913,50.8018201,4.3372348,Brussels,HOUSE,4500000.0,500.0
9377698,50.8648111,4.3300073,Brussels,APARTMENT,550000.0,265.0
9017383,50.9247958,4.4413466,Flanders,OFFICE,690575.0,503.0
8529130,50.6167526,5.620251,Wallonie,HOUSE,178000.0,70.0
9383013,51.0690301,5.0899067,Flanders,APARTMENT,165000.0,60.0
9298075,50.9345106,5.3468971,Flanders,APARTMENT,313500.0,70.0
9361467,50.7173563,4.3978047,Wallonie,HOUSE,1380000.0,323.0
9365903,50.7111796,4.5894025,Wallonie,HOUSE,595000.0,355.0
9270788,50.6486236,5.5567998,Wallonie,HOUSE,189000.0,264.0
9381872,51.1138103,2.619706,Flanders,APARTMENT,1135000.0,148.0
9293488,51.1582502,2.9670810948205,Flanders,HOUSE,1495000.0,642.0
9051144,50.8676124,4.7547413,Flanders,APARTMENT,445000.0,148.0
9294641,50.7933333,3.5065558,Flanders,INDUSTRY,625000.0,342.0
9183564,50.8292429,4.4432967,Brussels,APARTMENT,1295000.0,210.0
9184223,50.9104786,4.3657651,Flanders,HOUSE,430000.0,155.0
8892907,51.0925796,4.2713399,Flanders,INDUSTRY,925000.0,1235.0
9402353,51.1381555,2.7674303,Flanders,HOUSE,279000.0,68.0
9402561,50.7437289,3.6001053,Flanders,APARTMENT,235000.0,180.0
9215000,50.8018201,4.3372348,Brussels,APARTMENT,238000.0,55.0
8863043,50.9406182,4.0417246,Flanders,OFFICE,5500000.0,5193.0
8950149,50.8432121,4.5086268,Flanders,APARTMENT,620000.0,140.0
9390177,50.7021372,4.6896145,Wallonie,HOUSE,620000.0,188.0
9291108,51.1406701,4.7475196,Flanders,APARTMENT,304500.0,125.0
8517759,51.066458,3.7166484,Flanders,APARTMENT,1349000.0,313.0
9405137,51.3442566,3.2847331,Flanders,APARTMENT,575000.0,119.0
9217242,51.3383174,3.284755,Flanders,APARTMENT,519000.0,80.0
9343783,50.8540141,3.3080772,Flanders,OFFICE,235000.0,129.0
9398567,50.74503,4.3463687,Flanders,HOUSE,2600000.0,450.0
9397508,50.8156571,4.4331389,Brussels,HOUSE,775000.0,186.0
9403150,50.6303689,5.1444837,Wallonie,HOUSE,275000.0,150.0
8945223,50.8091426,4.3177512,Brussels,OFFICE,650000.0,303.0
9278585,50.8381854,4.1980065,Flanders,HOUSE,915000.0,524.0
9336424,50.8575527,3.4955535,Flanders,HOUSE,725000.0,213.0
9318108,50.7816213,4.2736065,Flanders,INDUSTRY,315000.0,357.0
9267483,50.74503,4.3463687,Flanders,HOUSE,975000.0,345.0
9026030,51.2103846,3.8120148,Flanders,OFFICE,657500.0,762.0
9401176,51.2211097,4.3997081,Flanders,HOUSE,1450000.0,375.0
9382135,50.5009474,5.40307,Wallonie,HOUSE,450000.0,275.0
9319916,51.1091101,2.6353426015022,Flanders,HOUSE,499000.0,164.0
9177839,50.8466928,4.4284842,Brussels,APARTMENT,595000.0,147.0
9071792,51.1770056,3.4511603,Flanders,HOUSE,515000.0,384.0
9369144,50.7810287,4.7716774,Wallonie,HOUSE,699000.0,260.0
9358259,50.9560644,4.2270027,Flanders,APARTMENT,315000.0,130.0
9029262,50.798989,4.3217975,Brussels,HOUSE,420000.0,150.0
9216250,50.2390245,5.8082072,Wallonie,HOUSE,445000.0,380.0
9288585,50.3398117,4.3498816,Wallonie,HOUSE,250000.0,586.0
9388536,50.5893639,5.619201,Wallonie,HOUSE,1100000.0,1546.0
9363948,50.74503,4.3463687,Flanders,HOUSE,2450000.0,500.0
9318724,51.2006432,4.4468874,Flanders,OFFICE,219000.0,109.0
9297686,51.2165126,4.4019098,Flanders,HOUSE,1050000.0,270.0
9335371,50.7729254,4.5385226,Flanders,HOUSE,975000.0,350.0
9188438,50.6940942,4.3548145440335,Wallonie,HOUSE,415000.0,150.0
9299288,50.5283656,5.2222771,Wallonie,OFFICE,259000.0,185.0
9299049,51.1997789,3.1999129,Flanders,APARTMENT,114500.0,15.0
8814751,50.8401113,3.6119575,Flanders,APARTMENT,247500.0,54.0
9337144,50.7016251,4.8203333,Wallonie,HOUSE,850000.0,375.0
9364180,50.667288,5.5553305,Wallonie,OFFICE,1400000.0,2170.0
9374382,51.0079311,3.793974,Flanders,OFFICE,569000.0,223.0
8912241,50.395269,4.4276538,Wallonie,INDUSTRY,30000.0,450.0
9237443,51.046807,3.7452042,Flanders,HOUSE,439000.0,225.0
9255705,51.0704365,4.3530749,Flanders,APARTMENT,175000.0,130.0
9281297,50.2668644,5.0458772,Wallonie,INDUSTRY,625000.0,2040.0
9254740,50.6824593,5.5418746,Wallonie,APARTMENT,205000.0,80.0
8976038,50.9635195,3.7552702,Flanders,APARTMENT,149900.0,45.0
9366733,49.5552526,5.5307026,Wallonie,HOUSE,360000.0,238.0
8873018,50.9059294,4.4226122,Flanders,INDUSTRY,556960.0,472.0
8941881,50.4592303,4.7036296,Wallonie,INDUSTRY,365000.0,640.0
8947299,51.068521,4.0403429,Flanders,APARTMENT,345000.0,136.0
9071687,50.8787066,4.457085,Flanders,OFFICE,760000.0,691.0
9405008,50.8723956,4.7195226,Flanders,APARTMENT,260000.0,32.0
8945226,50.8091426,4.3177512,Brussels,OFFICE,730000.0,303.0
9360014,49.8317374,5.7386723,Wallonie,HOUSE,445000.0,481.0
9393856,50.6940942,4.3548145440335,Wallonie,APARTMENT,316575.0,119.0
8706423,51.1878194,3.5596453,Flanders,APARTMENT,207000.0,90.0
9299243,50.9144052,4.3996409,Flanders,OFFICE,1500000.0,2015.0
8999857,51.148377,2.7184677,Flanders,APARTMENT,426500.0,111.0
9400424,51.1610826,4.9903187,Flanders,OFFICE,695000.0,580.0
9084123,50.9053167,4.7207052,Flanders,APARTMENT,455000.0,154.0
9073979,50.8381411,4.3123401,Brussels,INDUSTRY,229000.0,205.0
9290971,50.9039283,4.1879846,Flanders,INDUSTRY,650000.0,780.0
9390138,50.6930127,4.5738899,Wallonie,APARTMENT,449000.0,135.0
9240970,51.325158,3.3055098,Flanders,HOUSE,1395000.0,336.0
9381481,51.0471019,3.7304263,Flanders,APARTMENT,649000.0,130.0
9290654,50.8353461,3.2661785,Flanders,APARTMENT,550000.0,131.0
9314836,50.9095362,4.7136294,Flanders,INDUSTRY,275000.0,500.0
8387374,51.2363867,4.4366629,Flanders,INDUSTRY,3100000.0,7870.0
9299683,50.3729779,3.8051335,Wallonie,HOUSE,299000.0,595.0
9402708,50.9596235,3.5946059,Flanders,HOUSE,375000.0,200.0
9366928,50.7173563,4.3978047,Wallonie,APARTMENT,355000.0,130.0
9309528,50.3543055,6.1705559,Wallonie,HOUSE,1500000.0,2600.0
9367218,50.7133548,4.5272896887008,Wallonie,HOUSE,599000.0,192.0
9361748,50.1384044,5.3497824,Wallonie,HOUSE,475000.0,250.0
9397559,51.1867534,3.1458812,Flanders,APARTMENT,219000.0,112.0
9402036,50.8515749,4.3300001,Brussels,HOUSE,295000.0,170.0
9314147,50.68088165,4.2666690726132,Wallonie,HOUSE,750000.0,228.0
8203791,51.066458,3.7166484,Flanders,APARTMENT,1349000.0,313.0
9403073,51.0379788,3.7170278,Flanders,OFFICE,168000.0,32.0
9236334,50.9119702,4.1230588,Flanders,INDUSTRY,641277.0,475.0
9359181,49.919028,5.3644934,Wallonie,HOUSE,735000.0,468.0
9323882,50.8465573,4.351697,Brussels,APARTMENT,600000.0,160.0
9268645,50.6296406,5.570769,Wallonie,APARTMENT,395000.0,119.0
9402966,51.14416005,2.7283986495034,Flanders,HOUSE,425000.0,164.0
9127973,50.9282035,3.2137339,Flanders,HOUSE,725000.0,436.0
9347980,50.5379654,5.6255281,Wallonie,HOUSE,190000.0,177.0
9343466,51.02803335,4.471321199996,Flanders,HOUSE,420000.0,194.0
9390474,50.7133548,4.5272896887008,Wallonie,HOUSE,645000.0,206.0
9396711,50.6977891,5.8731515,Wallonie,HOUSE,700000.0,176.0
9325144,50.883392,4.3487134,Brussels,APARTMENT,140000.0,37.0
9163214,50.8091426,4.3177512,Brussels,INDUSTRY,695000.0,900.0
9338606,50.5160604,5.2265594,Wallonie,APARTMENT,225000.0,165.0
9361544,51.1824061,3.1996629,Flanders,HOUSE,835000.0,300.0
8613293,51.1740459,4.4096606,Flanders,HOUSE,1385000.0,413.0
9355692,50.8676041,4.3737121,Brussels,HOUSE,895000.0,295.0
9350644,50.8629257,4.3027379,Brussels,HOUSE,529000.0,260.0
9364422,51.0775847,4.3345248,Flanders,HOUSE,579000.0,200.0
9227198,50.5994225,5.6666982,Wallonie,HOUSE,440000.0,150.0
9129272,51.1730229,4.3650133,Flanders,APARTMENT,249000.0,136.0
8685625,51.1742431,2.7823907,Flanders,APARTMENT,510000.0,87.0
9144564,50.8465573,4.351697,Brussels,APARTMENT,340000.0,62.0
9332436,50.8381411,4.3123401,Brussels,INDUSTRY,350000.0,400.0
7645522,51.0507195,4.444381,Flanders,OFFICE,2250000.0,1600.0
9318719,51.2006432,4.4468874,Flanders,OFFICE,219000.0,109.0
9159592,51.2039892,4.7693645,Flanders,APARTMENT,320300.0,114.0
9386040,50.4850723,5.2949144,Wallonie,HOUSE,490000.0,250.0
9402404,50.8195512,4.6282191,Flanders,HOUSE,745000.0,260.0
